65.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:26:06.0 (703170)|USER_INFO|[EXTERNAL]|0051U000006YEqK|cwiley@ymcasf.org.ymcatrec|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
15:26:06.0 (738338)|EXECUTION_STARTED
15:26:06.0 (753165)|CODE_UNIT_STARTED|[EXTERNAL]|apex://UpcomingPaymentsService/ACTION$getUpcomingPayments
15:26:06.0 (2366353)|CODE_UNIT_STARTED|[EXTERNAL]|01pcf000004BTz2|UpcomingPaymentsService.getUpcomingPayments(Id)
15:26:06.0 (2735677)|HEAP_ALLOCATE|[95]|Bytes:3
15:26:06.0 (2825409)|HEAP_ALLOCATE|[100]|Bytes:152
15:26:06.0 (2841706)|HEAP_ALLOCATE|[417]|Bytes:408
15:26:06.0 (2858120)|HEAP_ALLOCATE|[430]|Bytes:408
15:26:06.0 (2887629)|HEAP_ALLOCATE|[317]|Bytes:6
15:26:06.0 (2910166)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
15:26:06.0 (2917091)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
15:26:06.0 (2939556)|METHOD_ENTRY|[1]|01pcf000004BTz2|UpcomingPaymentsService.UpcomingPaymentsService()
15:26:06.0 (2954303)|STATEMENT_EXECUTE|[1]
15:26:06.0 (2961851)|STATEMENT_EXECUTE|[1]
15:26:06.0 (3028399)|HEAP_ALLOCATE|[68]|Bytes:5
15:26:06.0 (3065319)|HEAP_ALLOCATE|[74]|Bytes:5
15:26:06.0 (3072987)|HEAP_ALLOCATE|[82]|Bytes:7
15:26:06.0 (3241016)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:26:06.0 (3245651)|STATEMENT_EXECUTE|[2]
15:26:06.0 (3247454)|STATEMENT_EXECUTE|[9]
15:26:06.0 (3258745)|METHOD_EXIT|[1]|UpcomingPaymentsService
15:26:06.0 (3264417)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:26:06.0 (3285349)|VARIABLE_SCOPE_BEGIN|[20]|accountId|Id|false|false
15:26:06.0 (3518707)|VARIABLE_ASSIGNMENT|[20]|accountId|"001cf00000AYuJ8AAL"
15:26:06.0 (3534640)|HEAP_ALLOCATE|[21]|Bytes:5
15:26:06.0 (3539172)|STATEMENT_EXECUTE|[20]
15:26:06.0 (3542494)|STATEMENT_EXECUTE|[21]
15:26:06.0 (3544376)|STATEMENT_EXECUTE|[25]
15:26:06.0 (3546869)|HEAP_ALLOCATE|[25]|Bytes:1077
15:26:06.0 (3568746)|HEAP_ALLOCATE|[25]|Bytes:4
15:26:06.0 (3580026)|HEAP_ALLOCATE|[25]|Bytes:7
15:26:06.0 (19146495)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT Id, Name, TREX1__Is_Billable__c, TREX1__Term_Type__c, TREX1__Start_Date__c, TREX1__Last_Date_Billed__c, TREX1__Amount__c, TREX1__Billing_Schedule_Group__c, TREX1__Billing_Schedule_Group__r.Name, TREX1__Billing_Schedule_Group__r.TREX1__bsg_Global_Billing_Group__c, TREX1__Billing_Schedule_Group__r.TREX1__bsg_Global_Billing_Group__r.Id, TREX1__Billing_Schedule_Group__r.TREX1__bsg_Global_Billing_Group__r.Name, TREX1__Billing_Schedule_Group__r.TREX1__bsg_Global_Billing_Group__r.TREX1__Monthly_Billing_Day__c, TREX1__Transaction_Line_Item__c, TREX1__Transaction_Line_Item__r.TREX1__Account__c, TREX1__TP2StoredAccount__c, TREX1__TP2StoredAccount__r.TPAY2__SA_Alias__c, TREX1__TP2StoredAccount__r.TPAY2__SA_CardScheme__c, TREX1__TP2StoredAccount__r.TPAY2__SA_LastFourCardNumber__c, TREX1__TP2StoredAccount__r.TPAY2__SA_ExpirationMonth__c, TREX1__TP2StoredAccount__r.TPAY2__SA_ExpirationYear__c FROM TREX1__Billing_Schedule__c WHERE (TREX1__Is_Billable__c = TRUE AND TREX1__Transaction_Line_Item__r.TREX1__Account__c = :tmpVar1 AND TREX1__Billing_Schedule_Group__c != NULL)
15:26:06.0 (75268995)|SOQL_EXECUTE_END|[25]|Rows:37
15:26:06.0 (75306642)|HEAP_ALLOCATE|[25]|Bytes:152
15:26:06.0 (75546371)|HEAP_ALLOCATE|[25]|Bytes:23635
15:26:06.0 (75620823)|HEAP_ALLOCATE|[25]|Bytes:152
15:26:06.0 (75636474)|VARIABLE_SCOPE_BEGIN|[25]|schedules|List<TREX1__Billing_Schedule__c>|true|false
15:26:06.0 (75665845)|VARIABLE_ASSIGNMENT|[25]|schedules|"List of size 37 too large to display"|0x778fbb5b
15:26:06.0 (75762837)|STATEMENT_EXECUTE|[53]
15:26:06.0 (75764544)|STATEMENT_EXECUTE|[56]
15:26:06.0 (75799847)|HEAP_ALLOCATE|[56]|Bytes:4
15:26:06.0 (75824042)|VARIABLE_SCOPE_BEGIN|[56]|byGroup|Map<Id,List<TREX1__Billing_Schedule__c>>|true|false
15:26:06.0 (75840235)|VARIABLE_ASSIGNMENT|[56]|byGroup|{}|0x24275acf
15:26:06.0 (75843572)|STATEMENT_EXECUTE|[57]
15:26:06.0 (75849607)|HEAP_ALLOCATE|[57]|Bytes:4
15:26:06.0 (75854599)|VARIABLE_SCOPE_BEGIN|[57]|groupNames|Map<Id,String>|true|false
15:26:06.0 (75860567)|VARIABLE_ASSIGNMENT|[57]|groupNames|{}|0x46f345b4
15:26:06.0 (75996580)|HEAP_ALLOCATE|[58]|Bytes:5
15:26:06.0 (76017914)|HEAP_ALLOCATE|[58]|Bytes:52
15:26:06.0 (76024642)|VARIABLE_SCOPE_BEGIN|[58]|bs|TREX1__Billing_Schedule__c|true|false
15:26:06.0 (76570867)|VARIABLE_ASSIGNMENT|[58]|bs|{"TREX1__Is_Billable__c":true,"TREX1__Transaction_Line_Item__r":{"TREX1__Account__c":"001cf00000AYuJ8AAL","Id":"a3Dcf0000005W45EAE"},"TREX1__Term_Type__c":"Monthly","TREX1__Billing_Schedule_Group__c":"a1lcf0000015QpJAAU","TREX1__TP2StoredAccount__c":"a83cf0000001vM1AAI","TREX1__Transaction_Line_Item__c":"a3Dcf0000005W45EAE","TREX1__TP2StoredAccount__r":{"TPAY2__SA_CardScheme__c":"Visa","Id":"a83cf0000001vM1AAI","TPAY2__SA_ExpirationMonth__c":"12","TPAY2__SA_ExpirationYear__c":"39","TPAY2__SA_LastFourCardNumber__c":"1111","TPAY2__SA_Alias__c":"Pompompurin's Visa"},"TREX1__Start_Date__c":"2025-08-01T00:00:00.000Z","Id":"a1mcf000000B4GPAA0","TREX1__Billing_Schedule_Group__r":{"TREX1__bsg_Global_Billing_Group__c":"a2M1U000000xxfRUAQ","Id":"a1lcf0000015QpJAAU","TREX1__bsg_Global_Billing_Group__r":{"TREX1__Monthly_Billing_Day__c":5,"Id":"a2M1U000000xxfRUAQ","Name":"GBG Membership - 5th (13 more) ..."},"Name":"BSG-0785236"},"TREX1__Amount__c":52.00,"Name":"BS-0001365178"}|0x31e84d7
15:26:06.0 (76583922)|STATEMENT_EXECUTE|[58]
15:26:06.0 (76657640)|STATEMENT_EXECUTE|[59]
